comment_id,author,author_id,text,like_count,published_at,updated_at
UgzL59oMDnAHNV-96a94AaABAg,@Reverie-velzvet,UCJaSuHOdO58aWym_dnK8zMg,"don't worry about staying in japan pewds cas they say ""home is not a place but a feeling"" if you love staying japan rn you really should",0,2025-04-11T08:19:03Z,2025-04-11T08:19:03Z
Ugw8bSwFjlEE2fqEW3x4AaABAg,@Reverie-velzvet,UCJaSuHOdO58aWym_dnK8zMg,9:15 I think it's the very first time pewds has shown bjorn crying T_T such a wholesome moment,0,2025-04-11T08:00:23Z,2025-04-11T08:00:23Z
Ugw4ZylvfRjfLe1XBSl4AaABAg,@yesjermplayzgamez511,UC89mwzaR6LHhk1pffPSBFdQ,"As a new dad, and someone who used to watch your videos growing up, this beautiful man congrats",1,2025-04-11T07:25:24Z,2025-04-11T07:25:24Z
UgxKwJLOpGXFfyFiuiJ4AaABAg,@RenuCacciatore75,UCYWEeTm05dumslGsMEAUErw,0:35 uuuu marimekko canvas bag i have one of their over shoulder bags... very good quality and i would recomend (for me it is actually local brand because i am from finland and so is that brand).... but to the main point of the video nice vid pewds i must say what an lovely kille have you raised.,0,2025-04-10T17:00:39Z,2025-04-10T17:08:10Z
UgwIUQ2Z7KlcW3NlCW94AaABAg,@Alexooooo11,UCd4XgS8-vukv3F5JWx3eNPw,He look so calculated for his age,0,2025-04-10T13:41:31Z,2025-04-10T13:41:31Z
UgyAycIIcYrBCkxhFVF4AaABAg,@Bigbenboyz,UCsddgLR_aD64hKR-gFoCoJA,The thumbnail looks like some the walking dead sht lol 😭,0,2025-04-10T09:33:29Z,2025-04-10T09:33:29Z
UgxdyJi6OxrflnOaWj14AaABAg,@NoNeed-j7k,UClc5wjAoQxrPVO5eojiieaw,Find hyperborea you will find your home there,0,2025-04-10T09:22:37Z,2025-04-10T09:22:37Z
UgzBuyzfvMdaMz8Ay8F4AaABAg,@zeestrike,UC6oPY-jXvXv8qjbsVK5ph-A,The bro fist in the end made me cough too Felix 😂,0,2025-04-10T00:02:19Z,2025-04-10T00:03:46Z
UgwwkYGcJsqgxpcQm9B4AaABAg,@InkRosie,UCQ88ko9LSDTo0BZ5KZqD3hQ,hes getting so big 😭❤️,0,2025-04-09T23:27:29Z,2025-04-09T23:27:29Z
UgzOAQIDDoKxrDT8Oph4AaABAg,@Maart18x,UCh_nFG7MBfNbqRegs-TW4gA,🌸WHOLESOME🌸,0,2025-04-09T22:10:19Z,2025-04-09T22:10:19Z
UgwDKApAPFDPJ38JJ7F4AaABAg,@kathleencorbett5284,UCOEa8Mr4c7UGBK7ozc-vwdw,Pewdiepie your an inspiration; thank you for sharing your story with us ❤❤❤❤,0,2025-04-09T14:05:33Z,2025-04-09T14:05:33Z
UgwSfMJLp6ViX7z1AlF4AaABAg,@vladimircivilgin274,UCykJUd_YCAxeM7V8AWJzywQ,What is that cafe with a labirinth called? Trying to make a travel list for Japan :D,0,2025-04-09T12:53:10Z,2025-04-09T12:53:10Z
UgyhLtYrxMwLJcDFlnN4AaABAg,@jj-qs1un,UCCMAP4zXn_mcUKrw5OeP7NQ,"日本に住むことを深刻に考えないでください。
貴方や家族が心の平穏を取り戻したい時に日本に来て
静かな日常を過ごせばいい。
そしていつかビョルンが大きくなって
「日本は２番目の故郷」だと言ってくれたら嬉しい。
日本を愛してくれてありがとう！",1,2025-04-09T11:36:09Z,2025-04-09T11:36:09Z
UgxUTn5J1ddHE8VIYxp4AaABAg,@allfiction8905,UCpxPiWez2sWVLT1p8TlrG4A,So this is how it look like when you finish main quests in life,0,2025-04-09T07:51:47Z,2025-04-09T07:51:47Z
Ugzf7VTLM7Q3uBhUpzJ4AaABAg,@LedyardLiliesandLilacs-gw9fw,UCzem__ZKalYZe8yZ_0EM40w,Please lookup 'MDA UAW Local 571' Submarine Designers F-B page. They really need some national attention during negotiation.,1,2025-04-09T00:48:12Z,2025-04-09T00:48:12Z
